Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
Team 3 status,02/10/2022,16:00:00,02/10/2022,17:00:00,FALSE,FALSE,02/10/2022,15:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Daily update,03/10/2022,9:00:00,03/10/2022,10:00:00,FALSE,FALSE,03/10/2022,8:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Budget planning,03/10/2022,10:00:00,03/10/2022,11:00:00,FALSE,FALSE,03/10/2022,9:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
CEO talk,03/10/2022,11:00:00,03/10/2022,12:00:00,FALSE,FALSE,03/10/2022,10:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Lunch,03/10/2022,12:00:00,03/10/2022,13:00:00,FALSE,FALSE,03/10/2022,11:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Team 4 status,03/10/2022,13:00:00,03/10/2022,14:00:00,FALSE,FALSE,03/10/2022,12:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Private,03/10/2022,15:00:00,03/10/2022,17:00:00,FALSE,FALSE,03/10/2022,14:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Daily update,04/10/2022,9:00:00,04/10/2022,10:00:00,FALSE,FALSE,04/10/2022,8:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Work meeting with Head of Security,04/10/2022,11:00:00,04/10/2022,12:00:00,FALSE,FALSE,04/10/2022,10:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Lunch,04/10/2022,12:00:00,04/10/2022,13:00:00,FALSE,FALSE,04/10/2022,11:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
"""Red Flame"" status",04/10/2022,13:00:00,04/10/2022,14:00:00,FALSE,FALSE,04/10/2022,12:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Coffee break with a friend,04/10/2022,14:00:00,04/10/2022,15:00:00,FALSE,FALSE,04/10/2022,13:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Travel,04/10/2022,15:00:00,04/10/2022,16:00:00,FALSE,FALSE,04/10/2022,14:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Visiting team 3,04/10/2022,16:00:00,04/10/2022,17:00:00,FALSE,FALSE,04/10/2022,15:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Daily update,05/10/2022,9:00:00,05/10/2022,10:00:00,FALSE,FALSE,05/10/2022,8:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
"Presentation of ""Blue Water""",05/10/2022,10:00:00,05/10/2022,11:00:00,FALSE,FALSE,05/10/2022,9:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Work meeting with head of R&D,05/10/2022,11:00:00,05/10/2022,12:00:00,FALSE,FALSE,05/10/2022,10:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Lunch,05/10/2022,12:00:00,05/10/2022,13:00:00,FALSE,FALSE,05/10/2022,11:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Work meeting with head of team 4,05/10/2022,14:00:00,05/10/2022,15:00:00,FALSE,FALSE,05/10/2022,13:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Strategic meeting - planning of 2022-2030 ,05/10/2022,15:00:00,05/10/2022,17:00:00,FALSE,FALSE,05/10/2022,14:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Daily update,06/10/2022,9:00:00,06/10/2022,10:00:00,FALSE,FALSE,06/10/2022,8:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Work meeting with head of HR,06/10/2022,11:00:00,06/10/2022,12:00:00,FALSE,FALSE,06/10/2022,10:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Lunch,06/10/2022,12:00:00,06/10/2022,13:00:00,FALSE,FALSE,06/10/2022,11:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Work meeting with John Doe,06/10/2022,13:00:00,06/10/2022,14:00:00,FALSE,FALSE,06/10/2022,12:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
"Presentation of ""White light""",06/10/2022,14:00:00,06/10/2022,15:00:00,FALSE,FALSE,06/10/2022,13:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Vacation,06/10/2022,15:00:00,06/10/2022,17:00:00,FALSE,FALSE,06/10/2022,14:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Daily update,06/11/2022,9:00:00,06/11/2022,10:00:00,FALSE,FALSE,06/11/2022,8:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Team 1 status,06/11/2022,10:00:00,06/11/2022,11:00:00,FALSE,FALSE,06/11/2022,9:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Team 2 status,06/11/2022,11:00:00,06/11/2022,12:00:00,FALSE,FALSE,06/11/2022,10:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Lunch,06/11/2022,12:00:00,06/11/2022,13:00:00,FALSE,FALSE,06/11/2022,11:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Work meeting with head of R&D,06/11/2022,15:00:00,06/11/2022,16:00:00,FALSE,FALSE,06/11/2022,14:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Team 3 status,06/11/2022,16:00:00,06/11/2022,17:00:00,FALSE,FALSE,06/11/2022,15:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Daily update,07/11/2022,9:00:00,07/11/2022,10:00:00,FALSE,FALSE,07/11/2022,8:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Budget planning,07/11/2022,10:00:00,07/11/2022,11:00:00,FALSE,FALSE,07/11/2022,9:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Lunch,07/11/2022,12:00:00,07/11/2022,13:00:00,FALSE,FALSE,07/11/2022,11:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Team 4 status,07/11/2022,13:00:00,07/11/2022,14:00:00,FALSE,FALSE,07/11/2022,12:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Personal meeting with John Doe,07/11/2022,14:00:00,07/11/2022,15:00:00,FALSE,FALSE,07/11/2022,13:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Private,07/11/2022,15:00:00,07/11/2022,17:00:00,FALSE,FALSE,07/11/2022,14:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Daily update,08/11/2022,9:00:00,08/11/2022,10:00:00,FALSE,FALSE,08/11/2022,8:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Personal meeting with Jane Doe,08/11/2022,10:00:00,08/11/2022,11:00:00,FALSE,FALSE,08/11/2022,9:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Work meeting with Head of Security,08/11/2022,11:00:00,08/11/2022,12:00:00,FALSE,FALSE,08/11/2022,10:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Lunch,08/11/2022,12:00:00,08/11/2022,13:00:00,FALSE,FALSE,08/11/2022,11:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Coffee break with a friend,08/11/2022,14:00:00,08/11/2022,15:00:00,FALSE,FALSE,08/11/2022,13:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Travel,08/11/2022,15:00:00,08/11/2022,16:00:00,FALSE,FALSE,08/11/2022,14:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Visiting team 3,08/11/2022,16:00:00,08/11/2022,17:00:00,FALSE,FALSE,08/11/2022,15:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Daily update,09/11/2022,9:00:00,09/11/2022,10:00:00,FALSE,FALSE,09/11/2022,8:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Work meeting with head of R&D,09/11/2022,11:00:00,09/11/2022,12:00:00,FALSE,FALSE,09/11/2022,10:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Lunch,09/11/2022,12:00:00,09/11/2022,13:00:00,FALSE,FALSE,09/11/2022,11:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Personal meeting with John Doe,09/11/2022,13:00:00,09/11/2022,14:00:00,FALSE,FALSE,09/11/2022,12:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Strategic meeting - planning of 2022-2030 ,09/11/2022,15:00:00,09/11/2022,17:00:00,FALSE,FALSE,09/11/2022,14:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Daily update,10/11/2022,9:00:00,10/11/2022,10:00:00,FALSE,FALSE,10/11/2022,8:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Personal meeting with Jane Doe,10/11/2022,10:00:00,10/11/2022,11:00:00,FALSE,FALSE,10/11/2022,9:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Work meeting with head of HR,10/11/2022,11:00:00,10/11/2022,12:00:00,FALSE,FALSE,10/11/2022,10:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Lunch,10/11/2022,12:00:00,10/11/2022,13:00:00,FALSE,FALSE,10/11/2022,11:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
Work meeting with John Doe,10/11/2022,13:00:00,10/11/2022,14:00:00,FALSE,FALSE,10/11/2022,12:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
"Presentation of ""White light""",10/11/2022,14:00:00,10/11/2022,15:00:00,FALSE,FALSE,10/11/2022,13:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
"Presentation of ""Blue Water""",09/11/2022,10:00:00,09/11/2022,11:00:00,FALSE,FALSE,09/11/2022,9:45:00,nadavilany1@gmail.com,,,,,," 
",,,Normal,FALSE,Normal,2
crash test,04/09/2022,0:00:00,05/09/2022,0:00:00,TRUE,TRUE,03/09/2022,6:00:00,,,,,,,,,,Normal,FALSE,Normal,3
